"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 06:54:54 GMT 2023","Thu Jun 01 06:54:56 GMT 2023","2215","firefox","","","","","playwright web test",""
"passed","Thu Jun 01 06:54:44 GMT 2023","Thu Jun 01 06:54:46 GMT 2023","1914","chromium","","","","","facebook web test",""
"passed","Thu Jun 01 06:54:43 GMT 2023","Thu Jun 01 06:54:44 GMT 2023","966","chromium","","","","","playwright web test",""
"passed","Thu Jun 01 06:55:09 GMT 2023","Thu Jun 01 06:55:12 GMT 2023","3410","webkit","","","","","facebook web test",""
"passed","Thu Jun 01 06:54:46 GMT 2023","Thu Jun 01 06:54:48 GMT 2023","1619","firefox","","","","","has title",""
"broken","Thu Jun 01 06:55:00 GMT 2023","Thu Jun 01 06:55:05 GMT 2023","5246","webkit","","","","","get started link",""
"passed","Thu Jun 01 06:54:36 GMT 2023","Thu Jun 01 06:54:37 GMT 2023","806","chromium","","","","","has title",""
"broken","Thu Jun 01 06:54:48 GMT 2023","Thu Jun 01 06:54:53 GMT 2023","5568","firefox","","","","","get started link",""
"broken","Thu Jun 01 06:54:37 GMT 2023","Thu Jun 01 06:54:42 GMT 2023","5143","chromium","","","","","get started link",""
"passed","Thu Jun 01 06:55:06 GMT 2023","Thu Jun 01 06:55:09 GMT 2023","2813","webkit","","","","","playwright web test",""
"passed","Thu Jun 01 06:54:56 GMT 2023","Thu Jun 01 06:54:58 GMT 2023","1862","firefox","","","","","facebook web test",""
"passed","Thu Jun 01 06:54:59 GMT 2023","Thu Jun 01 06:55:00 GMT 2023","1635","webkit","","","","","has title",""
